Br aaa
O=C1CNS(=O)(=O)c2ccccc21 adw
O=C1CN[CH]N1 adx
O=C1CN[CH]c2ccccc2N1 ady
O=C1CNc2ccccc2N1 adz
O=C1CNc2nc(=O)nc(=O)c21 adA
O=C1COc2ccccc2N1 adB
O=C1COc2cccnc2N1 adC
O=C1CS(=O)(=O)c2ccccc2N1 adD
O=C1CSc2ccccc2N1 adE
O=C1CSc2nccc(=O)n2N1 adF
O=C1CSc2ncccc2N1 adG
O=C1CSc2nncc2N1 adH
O=C1C[CH]C2(CCCCC2)O1 adI
O=C1C[CH]C2(C[CH]OCC2)O1 adJ
O=C1C[CH]C2=C(COC2=O)N1 adK
O=C1C[CH]C2COC1O2 adL
O=C1C[CH]C=CN1 adM
O=C1C[CH]CC(=O)C1 adN
O=C1C[CH]CC1 adO
O=C1C[CH]CCC1 adP
O=C1C[CH]CN1 adQ
O=C1C[CH]CO1 adR
O=C1C[CH]Cc2[nH]c3ccccc3c(=O)c21 adS
O=C1C[CH]Cc2[nH]ncc21 adT
O=C1C[CH]Cc2c1cnc1ccnn21 adU
O=C1C[CH]Cc2nc3ncnn3cc21 adV
O=C1C[CH]Cc2nc3sccc3cc21 adW
O=C1C[CH]Cc2ncncc21 adX
O=C1C[CH]Cc2ncsc21 adY
O=C1C[CH]Cc2nncc21 adZ
O=C1C[CH]Cc2oc(=O)ccc21 aea
O=C1C[CH]Cc2occc21 aeb
O=C1C[CH]N1 aec
O=C1C[CH]N[CH]C1 aed
O=C1C[CH]Nc2ccc3ccccc3c21 aee
O=C1C[CH]Nc2ccccc21 aef
O=C1C[CH]Nc2ccccc2N1 aeg
O=C1C[CH]Oc2ccccc21 aeh
O=C1C[CH]Sc2ccccc2N1 aei
O=C1C[CH][CH]N1 aej
O=C1C[CH][CH]O1 aek
O=C1C[CH]c2c(c3ccccc3[nH]c2=O)O1 ael
O=C1C[CH]c2c(c3ccccc3nc2=O)O1 aem
O=C1C[CH]c2c(ccc3ccccc23)N1 aen
O=C1C[CH]c2c(n3ccsc3nc2=O)N1 aeo
O=C1C[CH]c2c(n3ncnc3nc2=O)N1 aep
O=C1C[CH]c2c(nc[nH]c2=O)N1 aeq
O=C1C[CH]c2c(ncnc2=O)N1 aer
O=C1C[CH]c2cc3c(cc21)OCO3 aes
O=C1C[CH]c2cc3c(cc2N1)OCCO3 aet
O=C1C[CH]c2cc3c(cc2N1)OCO3 aeu
O=C1C[CH]c2ccccc21 aev
O=C1C[CH]c2ccccc2N1 aew
O=C1C[CH]c2cn[nH]c2N1 aex
O=C1C[CH]n2ncnc2N1 aey
O=C1Cc2c(ccc3ccccc23)[CH]N1 aez
O=C1Cc2cccc3c2N1CCC3 aeA
