Br aaa
O=c1ccnc2scnn12 alK
O=c1ccnc[nH]1 alL
O=c1ccncc1 alM
O=c1ccncn1 alN
O=c1ccnn1 alO
O=c1ccnnc1 alP
O=c1ccno1 alQ
O=c1ccoc2c1OC=C[CH]2 alR
O=c1ccoc2cc3c(cc12)CC[CH]CO3 alS
O=c1ccoc2cc3c(cc12)OCO3 alT
O=c1ccoc2cc3occc3cc12 alU
O=c1ccoc2ccccc12 alV
O=c1ccoc2nncc12 alW
O=c1ccocc1 alX
O=c1ccsc2ccccc12 alY
O=c1ccsc2ncnn12 alZ
O=c1ccsc2nncn12 ama
O=c1cn[nH]c(=O)[nH]1 amb
O=c1cn[nH]cn1 amc
O=c1cnc2ccccc2[nH]1 amd
O=c1cnc2ccccc2n1 ame
O=c1cnc2cncnc2n1 amf
O=c1cnccn1 amg
O=c1cnn2c(=O)ccnc2n1 amh
O=c1cnn2c(n1)SCC=N2 ami
O=c1cnn2c(n1)nc1ccccc12 amj
O=c1cnn2cnc3ccnn3c2n1 amk
O=c1cnn2cnnc2[nH]1 aml
O=c1cnnc(=O)[nH]1 amm
O=c1cnnc(=O)n1 amn
O=c1cnnc2ccccc12 amo
O=c1cnnc2n1[CH]CS2 amp
O=c1cnnc2scnn12 amq
O=c1cnnc[nH]1 amr
O=c1cnncn1 ams
O=c1n[nH]c(=O)c2ccccc12 amt
O=c1nc(=O)c2[nH]cnc2n1 amu
O=c1nc(=O)c2c(=O)n3ccccc3nc2n1 amv
O=c1nc(=O)c2c([nH]1)SCCC2 amw
O=c1nc(=O)c2c(cn3ccc4ccccc4c23)n1 amx
O=c1nc(=O)c2c(n1)nc1[nH]ccn12 amy
O=c1nc(=O)c2c(n1)nc1nccn12 amz
O=c1nc(=O)c2c(n1)nc1occn12 amA
O=c1nc(=O)c2c(nc3n2CCCN3)n1 amB
O=c1nc(=O)c2c(nc3n2CCN3)n1 amC
O=c1nc(=O)c2c(nc3n2CCS3)n1 amD
O=c1nc(=O)c2c(nc3n2C[CH]CN3)n1 amE
O=c1nc(=O)c2c(nc3n2C[CH]O3)n1 amF
O=c1nc(=O)c2c3c(sc2n1)CCC3 amG
O=c1nc(=O)c2c3c(sc2n1)CCCC3 amH
O=c1nc(=O)c2c3c(sc2n1)CO[CH]C3 amI
O=c1nc(=O)c2cc3c(=O)nc(=O)nc3nc2n1 amJ
O=c1nc(=O)c2cc3ccccc3nc2n1 amK
O=c1nc(=O)c2cc3cn[nH]c3nc2n1 amL
O=c1nc(=O)c2ccc(=O)oc2n1 amM
O=c1nc(=O)c2ccccc2[nH]1 amN
O=c1nc(=O)c2ccccc2c2ccccc12 amO
O=c1nc(=O)c2ccccc2n1 amP
O=c1nc(=O)c2ccccc2o1 amQ
O=c1nc(=O)c2cccnc2[nH]1 amR
O=c1nc(=O)c2cccnc2n1 amS
O=c1nc(=O)c2cn3c4ccccc4ncc3c2n1 amT
O=c1nc(=O)c2cnc3ccnn3c2n1 amU
O=c1nc(=O)c2cncc2n1 amV
O=c1nc(=O)c2cncnc2n1 amW
O=c1nc(=O)c2nc3c(nc(=O)c4ccccc43)nc2n1 amX
O=c1nc(=O)c2nc3ccccc3nc2n1 amY
O=c1nc(=O)c2nc3nncn3c2n1 amZ
O=c1nc(=O)c2ncnc2n1 ana
O=c1nc(=O)c2ncnnc2n1 anb
O=c1nc(=O)c2ncsc2[nH]1 anc
O=c1nc(=O)c2nncnc2n1 and
O=c1nc(=O)c2oc3ccccc3c2[nH]1 ane
O=c1nc(=O)c2oc3ccccc3c2n1 anf
O=c1nc(=O)c2sc3c(c2n1)CO[CH]C3 ang
O=c1nc(=O)c2sccc2[nH]1 anh
O=c1nc(=O)c2sccc2n1 ani
O=c1nc(=O)n2c(n1)sc1ccccc12 anj
O=c1nc(=O)n2ccn12 ank
O=c1nc(=O)n2n1CCCC2 anl
O=c1nc(=O)n2n1[CH]C1=CC=CC=CC12 anm
O=c1nc(=O)nc(=O)n1 ann
O=c1nc2c(c(=O)[nH]1)CCCC2 ano
O=c1nc2cc3n[nH]nc3cc2n1 anp
O=c1nc2cc3nc[nH]c3cc2n1 anq
O=c1nc2cc[nH]n2c2[nH]cnc12 anr
O=c1nc2ccccc2[nH]1 ans
O=c1nc2ccccc2[nH]c1=O ant
O=c1nc2ccccc2c(=O)o1 anu
O=c1nc2ccccc2c2[nH]ncc12 anv
O=c1nc2ccccc2c2c1C=NC[CH]N2 anw
O=c1nc2ccccc2c2nccc12 anx
O=c1nc2ccccc2c2sccc12 any
O=c1nc2ccccc2n1 anz
O=c1nc2ccccc2nc1=O anA
O=c1nc2ccccc2o1 anB
O=c1nc2ccccc2s1 anC
O=c1nc2cnnn2c2ccccc12 anD
O=c1nc2n(c3c1oc1ccccc13)Cc1ccccc1-2 anE
O=c1nc2n(c3sc4c(c13)CCC4)Cc1ccccc1-2 anF
O=c1nc2n3ccccc3ncc-2s1 anG
O=c1nc2nc3c(nc-2c(=O)n1)CCCC3 anH
O=c1nc2nc3ccccc3cc-2c(=O)[nH]1 anI
O=c1nc2nc3ccccc3cc-2c(=O)n1 anJ
O=c1nc2nc3n(c2c(=O)[nH]1)CCCN3 anK
O=c1nc2nc3n(c2c(=O)[nH]1)CCN3 anL
O=c1nc2nc3n(c2c(=O)[nH]1)C[CH]CN3 anM
O=c1nc2nc3n(c2c(=O)[nH]1)C[CH]O3 anN
O=c1nc2nc3nccn3c2c(=O)[nH]1 anO
O=c1nc2nc[nH]c(=O)c2[nH]1 anP
O=c1nc2nc[nH]c2c(=O)[nH]1 anQ
O=c1nc2ncccc2c(=O)[nH]1 anR
O=c1nc2ncccc2n2cccc12 anS
O=c1nc2nccnc2c(=O)[nH]1 anT
O=c1nc2ncnc2c(=O)[nH]1 anU
O=c1nc2ncncc2[nH]1 anV
O=c1nc2nncn2c2ccccc12 anW
O=c1nc2nncn2c2ccsc12 anX
O=c1nc2nncn2c2sc3c(c12)CCC3 anY
O=c1nc2nncn2c2sc3c(c12)CCCC3 anZ
O=c1nc2nnnn2c2ccccc12 aoa
O=c1nc2nnnn2c2sc3c(c12)CCC3 aob
O=c1nc2nscc2c(=O)[nH]1 aoc
O=c1nc2oc3ccc4ccccc4c3cc-2c(=O)[nH]1 aod
O=c1nc2sc3c(c2c2ncnn12)CCCC3 aoe
O=c1nc2sccn2n1 aof
O=c1nc[nH]c2nncc12 aog
O=c1ncc2c([nH]1)CCC2 aoh
O=c1ncc2c([nH]1)CCCC2 aoi
O=c1ncc2c(n1)CCC2 aoj
O=c1ncc2c3c(sc2n1)CO[CH]C3 aok
O=c1ncc2ccccc2n1 aol
O=c1ncc2cnnc2n1 aom
O=c1ncc[nH]1 aon
O=c1nccc2c1CCCC2 aoo
O=c1nccc2c3ccccc3ncc1-2 aop
O=c1nccc2ccccc12 aoq
O=c1nccc2n1CCc1ccccc1-2 aor
O=c1nccc2ncccc12 aos
O=c1nccc[nH]1 aot
O=c1ncccn1 aou
O=c1nccn1 aov
O=c1nccn[nH]1 aow
O=c1nccnc1=O aox
O=c1nccnn1 aoy
O=c1nccs1 aoz
O=c1ncn[nH]1 aoA
O=c1ncnc2[nH]ncc12 aoB
O=c1ncnc2c1SCC2 aoC
O=c1ncnc2c1S[CH]C2 aoD
O=c1ncnc2c1[CH]Cc1ccccc1-2 aoE
O=c1ncnc2c1[nH]c1ccccc12 aoF
O=c1ncnc2c1nc1ccccc12 aoG
O=c1ncnc2c1nc1n2CCCCC1 aoH
O=c1ncnc2c1oc1ccccc12 aoI
O=c1ncnc2c1oc1nc3c(cc12)CO[CH]C3 aoJ
O=c1ncnc2c1sc1ncccc12 aoK
O=c1ncnc2cc3n(c12)CCCC3 aoL
O=c1ncnc2ccccc12 aoM
O=c1ncnc2ccccn12 aoN
O=c1ncnc2ccnc12 aoO
O=c1ncnc2ccsc12 aoP
O=c1ncnc2cscc12 aoQ
O=c1ncnc2nc3c(cc12)CO[CH]C3 aoR
O=c1ncnc2nc3ccccc3c(=O)c12 aoS
O=c1ncnc2nc3nc4ccccc4nc3c12 aoT
O=c1ncnc2ncccc12 aoU
O=c1ncnc2nccnc12 aoV
O=c1ncnc2nncc12 aoW
O=c1ncnc2nnnc12 aoX
O=c1ncnc2oc3ccccc3c(=O)c12 aoY
O=c1ncnc2occc12 aoZ
O=c1ncnc2sc3c(c12)CCC3 apa
O=c1ncnc2sc3c(c12)CCCC3 apb
O=c1ncnc2sc3c(c12)CC[CH]C3 apc
O=c1ncnc2sc3c(c12)C[CH]OC3 apd
O=c1ncnc2sc3ccccc3c(=O)c12 ape
O=c1ncnc2sccc12 apf
O=c1ncnc2snnc12 apg
O=c1ncnc[nH]1 aph
O=c1ncnn1 api
O=c1ncno1 apj
O=c1ncsc2ccccc12 apk
O=c1nnc(=O)c2cc3ccccc3cc12 apl
O=c1nncc2c1[nH]c1ccccc12 apm
O=c1nncc2c1nc1ccccc12 apn
O=c1nncc2ccccc12 apo
O=c1nncc2ccsc12 app
O=c1nncc2cncc12 apq
O=c1nncc2sc3ccccc3c12 apr
O=c1nncc2scnc12 aps
O=c1nncn2c1cc1ccccc12 apt
O=c1nncn2c1cc1occc12 apu
O=c1nncn2c1cc1sccc12 apv
O=c1nncn2cccc12 apw
O=c1nncn2ccnc12 apx
O=c1nncn2nccc12 apy
O=c1nnco1 apz
O=c1nnnc2cc3c(cc12)OCO3 apA
O=c1nnnc2ccccc12 apB
O=c1nnnc2cncn12 apC
O=c1nnnc2nncc12 apD
O=c1nnnc2sc3c(c12)CCCC3 apE
O=c1nnnc2sc3c(c12)CC[CH]C3 apF
O=c1nnnc2sc3c(c12)C[CH]OC3 apG
O=c1nnnc2sccc12 apH
O=c1nnnn1 apI
O=c1noc(=O)n1 apJ
O=c1noc2ccccc12 apK
O=c1nsc2ccccc12 apL
O=c1oc2cc3occc3cc2c2c1CCC2 apM
O=c1oc2cc3occc3cc2c2ccncc12 apN
O=c1oc2ccccc2c2c1CCC2 apO
O=c1oc2ccccc2c2c1CCCC2 apP
O=c1oc2ccccc2c2ccccc12 apQ
O=c1oc2ccccc2c2ccncc12 apR
O=c1oc2ccccc2c2ncnc12 apS
O=c1oc2ccccc2c2ncncc12 apT
O=c1oc2ccccc2c2nncc12 apU
O=c1oc2ccccc2c2sccc12 apV
O=c1oc2ncnc(=O)c2c2snnc12 apW
O=c1occc2c1[CH]C=CO2 apX
O=c1occc2ccccc12 apY
O=c1occc2snnc12 apZ
O=c1ocnc2c1sc1nc3c(cc12)CO[CH]C3 aqa
O=c1ocnc2ccccc12 aqb
O=c1ocnc2sc3c(c12)CCC3 aqc
O=c1sccs1 aqd
O=c1snc2ccccc12 aqe
OC(F)(F)Cl aqf
OC(F)(F)F aqg
OC(F)F aqh
SCS aqi
[CH2] aqj
[CH2]N(C)C([NH])=O aqk
[CH2]N(C)C=O aql
[CH2]N(C)S(C)(=O)=O aqm
[CH2]N(C)[SH](=O)=O aqn
[CH2]N([CH2])C(=O)N(C)C aqo
[CH2]N([CH2])C(=O)NC aqp
[CH2]N([CH2])C(=O)O aqq
[CH2]N([CH2])C([NH])=O aqr
[CH2]N([CH2])C=O aqs
[CH2]N([CH2])S(=O)(=O)O aqt
[CH2]N([CH2])S(C)(=O)=O aqu
[CH2]N([CH2])[SH](=O)=O aqv
[CH2]N=CO aqw
[CH2]NC aqx
[CH2]NC(=O)N([CH2])C aqy
[CH2]NC(=O)N([CH2])[CH2] aqz
[CH2]NC(=O)N[CH2] aqA
[CH2]NC(=O)N[SH](=O)=O aqB
[CH2]NC(=O)O aqC
[CH2]NC(=O)OC aqD
[CH2]NC(=O)O[CH2] aqE
[CH2]NC(N)=O aqF
[CH2]NC([NH])=O aqG
[CH2]NC=O aqH
[CH2]NS(=O)(=O)N(C)C aqI
[CH2]NS(=O)(=O)N([CH2])C aqJ
[CH2]NS(=O)(=O)NC=O aqK
[CH2]NS(=O)(=O)N[CH2] aqL
[CH2]NS(C)(=O)=O aqM
[CH2]NS([CH2])(=O)=O aqN
[CH2]N[CH2] aqO
[CH2]N[SH](=O)=O aqP
[CH2]O aqQ
[CH2]OC aqR
[CH2]OC(=O)NC aqS
[CH2]OC(=O)NS(C)(=O)=O aqT
[CH2]OC(=O)N[SH](=O)=O aqU
[CH2]OC(=O)O aqV
[CH2]OC(=O)S aqW
[CH2]OC(N)=O aqX
[CH2]OC([NH])=O aqY
[CH2]OC=O aqZ
[CH2]O[CH2] ara
[CH2]O[CH]NC(=O)OC arb
[CH2]O[CH]NC(=O)O[CH2] arc
[CH2]O[CH]NC=O ard
[CH2]O[SH]=O are
[CH2]S arf
[CH2]S([NH])(=O)=O arg
[CH2][NH] arh
[CH2][SH](=O)=O ari
[CH2][SH]=O arj
[CH3] ark
[CH] arl
[CH]1C2C=CC1CC2 arm
[CH]1C2C=NCc3ccccc3C12 arn
[CH]1C2CC3CC1CC(C2)C3 aro
[CH]1C2CCC1c1ncncc12 arp
[CH]1C2Cc3nncc3C12 arq
[CH]1C=CCC1 arr
[CH]1C=CCCC1 ars
[CH]1C=CN=CN1 art
[CH]1C=CNC1 aru
[CH]1C=CNC=C1 arv
[CH]1C=CNc2ncnn21 arw
[CH]1C=CNc2nnnn21 arx
[CH]1C=COc2n[nH]cc21 ary
[CH]1C=C[CH]C1 arz
[CH]1C=Cc2ccccc21 arA
[CH]1C=Cc2ccccc2N1 arB
[CH]1C=Nc2ccccc2C=N1 arC
[CH]1C=Nn2cnnc2S1 arD
[CH]1CC1 arE
[CH]1CC12CCC2 arF
[CH]1CC2C=CC1C2 arG
[CH]1CC2CCC1C2 arH
[CH]1CC2CCCC(C1)N2 arI
[CH]1CC2CNC(C1)C2 arJ
[CH]1CC2[CH]C1CC2 arK
[CH]1CC=C2C3=C(CCC12)c1ccccc1C3 arL
[CH]1CC=CCC1 arM
[CH]1CC=Nc2ncnn21 arN
[CH]1CC=Nc2nnnn21 arO
[CH]1CCC1 arP
[CH]1CCC2([CH][CH]2)CC1 arQ
[CH]1CCCC1 arR
[CH]1CCCC2(C1)N[CH]CO2 arS
[CH]1CCCCC1 arT
[CH]1CCCCCC1 arU
[CH]1CCCCN1 arV
[CH]1CCCCO1 arW
[CH]1CCCCc2c1[nH]c1ccccc21 arX
[CH]1CCCN1 arY
[CH]1CCCNC1 arZ
[CH]1CCCO1 asa
[CH]1CCC[CH]N1 asb
[CH]1CCCc2c1[nH]c1ccccc21 asc
[CH]1CCCc2ccccc21 asd
[CH]1CCCc2sc3c(c21)c1ncnn1c1nncn31 ase
[CH]1CCCc2sc3ncn4ncnc4c3c21 asf
[CH]1CCCc2sccc21 asg
[CH]1CCNC1 ash
[CH]1CCNCC1 asi
[CH]1CCNc2ccccc2S1 asj
[CH]1CCOC1 ask
[CH]1CCOCC1 asl
[CH]1CCOCO1 asm
[CH]1CCOc2ccccc21 asn
[CH]1CCSc2ccccc21 aso
[CH]1CC[CH]CC1 asp
[CH]1CCc2c(sc3c2C=N[CH]N3)C1 asq
[CH]1CCc2c(sc3c2c2nncn2c2nncn32)C1 asr
[CH]1CCc2c(sc3ncncc23)C1 ass
[CH]1CCc2ccccc21 ast
[CH]1CCc2ccccc2C1 asu
[CH]1CCc2ccccc2N1 asv
[CH]1CCc2ccsc2C1 asw
[CH]1CCc2cn3ncnc3nc2C1 asx
[CH]1CCc2ncsc2C1 asy
[CH]1CCc2nncc2C1 asz
[CH]1CCc2nncn2-c2ccccc21 asA
[CH]1CCc2oncc2C1 asB
[CH]1CCc2sc3ncn4ncnc4c3c2C1 asC
[CH]1CCc2sc3ncncc3c2C1 asD
[CH]1CCc2sccc2C1 asE
[CH]1CNCCN1 asF
[CH]1CNCCO1 asG
[CH]1CNC[CH]O1 asH
[CH]1CN[CH]CN1 asI
[CH]1CNc2ccccc21 asJ
[CH]1CNc2ccccc2O1 asK
[CH]1CNc2ccccc2S1 asL
[CH]1COC2(CCCC2)O1 asM
[CH]1COC2(CCCCC2)O1 asN
[CH]1COC2[CH]COC12 asO
[CH]1COC=N1 asP
[CH]1COCN1 asQ
[CH]1CO[CH]O1 asR
[CH]1CO[CH]OC1 asS
[CH]1COc2ccccc2C1 asT
[CH]1COc2ccccc2O1 asU
[CH]1CSc2nncn2C1 asV
[CH]1C[CH]CCC1 asW
[CH]1C[CH]CNC1 asX
[CH]1C[CH]C[CH]C1 asY
[CH]1C[CH]NC1 asZ
[CH]1C[CH]OC=N1 ata
[CH]1C[CH]OCC1 atb
[CH]1C[CH]c2ccccc2N1 atc
[CH]1C[CH]c2ccoc2C1 atd
[CH]1C[CH]n2nccc2N1 ate
[CH]1C[CH]n2ncnc2N1 atf
[CH]1Cc2c(cnc3[nH]ncc23)CO1 atg
[CH]1Cc2c(cnc3oc4cncnc4c23)CO1 ath
[CH]1Cc2c(sc3c2c2nnnn2c2nnnn32)CO1 ati
[CH]1Cc2c(sc3ncn4cnnc4c23)CO1 atj
[CH]1Cc2c(sc3ncn4ncnc4c23)CO1 atk
[CH]1Cc2c(sc3ncncc23)CO1 atl
[CH]1Cc2ccccc2-c2nncn21 atm
[CH]1Cc2ccccc21 atn
[CH]1Cc2ccccc2C1 ato
[CH]1Cc2ccccc2CN1 atp
[CH]1Cc2ccccc2N1 atq
[CH]1Cc2ccccc2Nc2ccccc21 atr
[CH]1Cc2ccccc2O1 ats
[CH]1Cc2ccccc2S1 att
[CH]1Cc2ccncc2CO1 atu
[CH]1Cc2ccsc2CO1 atv
[CH]1Cc2cnnc2C1 atw
[CH]1Cc2nc3sc4cncnc4c3cc2CO1 atx
[CH]1Cc2ncncc2CO1 aty
[CH]1N=CN2C=CC=CC2=N1 atz
[CH]1N=COC=N1 atA
[CH]1N=COc2ccccc21 atB
[CH]1N=Cc2c(sc3c2CCCC3)N1 atC
[CH]1N=c2ncnc2=CN1 atD
[CH]1NC2C=CC1C2 atE
[CH]1NC=Cc2ccccc21 atF
[CH]1NC=Nc2nc3ccccc3n21 atG
[CH]1NCCC2CCCCC12 atH
[CH]1NCCCO1 atI
[CH]1NCCN1 atJ
[CH]1NCCc2ccccc21 atK
[CH]1NCCc2sccc21 atL
[CH]1NCCn2cccc21 atM
[CH]1N[CH]N[CH]N1 atN
[CH]1Nc2ccccc2-c2cccn21 atO
[CH]1Nc2ccccc2-c2nncnc2O1 atP
[CH]1Nc2ccccc2-c2nnnn21 atQ
[CH]1Nc2ccccc2C2OCCC12 atR
[CH]1Nc2ccccc2N1 atS
[CH]1Nc2ccccc2O1 atT
[CH]1Nc2ccccc2S1 atU
[CH]1Nn2cnnc2S1 atV
[CH]1OC2CCCCC2c2sccc21 atW
[CH]1OC2[CH]OCC2O1 atX
[CH]1OC2[CH]O[CH]C2O1 atY
[CH]1OCC2([CH]C=CC[CH]2)CO1 atZ
[CH]1OCC2CC=CC1C2 aua
[CH]1OCC2OC3O[CH]OC3C2O1 aub
[CH]1OCCCO1 auc
[CH]1OCCO1 aud
[CH]1OCCc2ccccc21 aue
[CH]1O[CH]O[CH]O1 auf
[CH]1Oc2ccccc2-c2ncncc21 aug
[CH]1Oc2ccccc2O1 auh
[CH]1[CH]C1 aui
[CH]1[CH]C2C1C1OC2C2C3C=CC(O3)C12 auj
[CH]1[CH]C2C=CC1C2 auk
[CH]1[CH]C2C=Cc3ccccc3N2[CH]1 aul
[CH]1[CH]C2CCC1C2 aum
[CH]1[CH]C2CCC1CC2 aun
[CH]1[CH]C2CCC1O2 auo
[CH]1[CH]C2O[CH]OC2O1 aup
[CH]1[CH]C=CC=C1 auq
[CH]1[CH]C=NC=C1 aur
[CH]1[CH]CC=CC1 aus
[CH]1[CH]CCCC1 aut
[CH]1[CH]CCC[CH]1 auu
[CH]1[CH]CC[CH]1 auv
[CH]1[CH]CC[CH]C1 auw
[CH]1[CH]CNCC1 aux
[CH]1[CH]C[CH]O[CH]1 auy
[CH]1[CH]Cc2ccccc2C1 auz
[CH]1[CH]Cc2nocc2[CH]1 auA
[CH]1[CH]NCCC1 auB
[CH]1[CH]O[CH]C1 auC
[CH]1[CH]O[CH]O1 auD
[CH]1[CH]O[CH]OC1 auE
[CH]1[CH]O[CH]O[CH]1 auF
[CH]1[CH]Oc2ccccc2C1 auG
[CH]1[CH]Oc2ccccc2O1 auH
[CH]1[CH]Sc2nncn2N1 auI
[CH]1[CH][CH]1 auJ
[CH]1[CH][CH]C2OC3(CCCCC3)OC2[CH]1 auK
[CH]1[CH][CH]OC[CH]1 auL
[CH]1[CH][CH]O[CH]1 auM
[CH]1[CH][CH]O[CH][CH]1 auN
[CH]1[CH]c2c(ccc3cc4ccccc4cc23)N1 auO
[CH]1[CH]c2ccccc2O1 auP
[CH]1[CH]n2nnnc2N=C1 auQ
[CH]1c2ccccc2-c2ccccc21 auR
[CH]1c2ccccc2-c2ncccc21 auS
[CH]1c2ccccc2Oc2ccccc21 auT
[CH]1c2ccccc2Oc2ncn3ncnc3c21 auU
[CH]1c2ccccc2[CH]c2c1ccc1ccccc21 auV
[CH]1c2ccccc2[CH]c2ccccc21 auW
[CH]1c2ccnn2[CH]c2ccnn21 auX
[CH]1c2nonc2[CH]c2nonc21 auY
[CH]=C auZ
[CH]=C1C=Cc2ccccc21 ava
[CH]=C1C=Nc2ccccc21 avb
[CH]=C1CCCCC1 avc
[CH]=C1CCNCC1 avd
[CH]=C1CCOC1=O ave
[CH]=C1N=COC1=O avf
[CH]=C1NC(=O)C(=O)O1 avg
[CH]=C1NCCc2ccccc21 avh
[CH]=C1N[CH]Cc2ccccc21 avi
[CH]=C1OC(=O)C2C(=O)N=CC=C12 avj
[CH]=C1OC(=O)c2c1cc[nH]c2=O avk
[CH]=C1OC(=O)c2ccccc21 avl
[CH]=CNC([NH])=O avm
[CH]=CNC=O avn
[CH]=COC avo
[CH]=CO[CH2] avp
[CH]=C[NH] avq
[CH]=N avr
[CH]=O avs
[CH]=[CH] avt
[CH]=c1[nH]c(=O)c(=[CH])[nH]c1=O avu
[CH]=c1[nH]c(=O)c(=[CH])s1 avv
[CH]=c1nc(=O)c(=[CH])s1 avw
[CH]=c1sc2cncn2c1=O avx
[CH]=c1sc2n(c1=O)CCN=2 avy
[CH]=c1sc2n(c1=O)CNCN=2 avz
[CH]=c1sc2nc(=O)cnn2c1=O avA
[CH]=c1sc2nc3ccccc3n2c1=O avB
[CH]=c1sc2nc3sccc3c(=O)n2c1=O avC
[CH]=c1sc2ncnn2c1=O avD
[CH]Br avE
[CH]F avF
[CH]N(C)C=O avG
[CH]N(C)[SH](=O)=O avH
[CH]N([CH2])C(=O)N[CH2] avI
[CH]N([CH2])C=O avJ
[CH]N([CH2])[SH](=O)=O avK
[CH]N([CH])C=O avL
[CH]NC avM
[CH]NC(=O)N(C)C avN
[CH]NC(=O)N([CH2])[CH2] avO
[CH]NC(=O)N([CH])[CH2] avP
[CH]NC(=O)N[CH2] avQ
[CH]NC(=O)N[CH] avR
[CH]NC(=O)O avS
[CH]NC(=O)O[CH2] avT
[CH]NC(=O)O[CH] avU
[CH]NC(N)=O avV
[CH]NC([NH])=O avW
[CH]NC=O avX
[CH]NS(=O)(=O)N(C)C avY
[CH]NS(C)(=O)=O avZ
[CH]NS([CH2])(=O)=O awa
[CH]N[SH](=O)=O awb
[CH]O awc
[CH]OC awd
[CH]OC(=O)N[CH2] awe
[CH]OC([NH])=O awf
[CH]OC=O awg
[CH]O[CH2] awh
[CH]S awi
[CH]S([NH])(=O)=O awj
[CH][NH] awk
[CH][SH](=O)=O awl
[NH2] awm
[NH] awn
[NH]C(=O)N[SH](=O)=O awo
[NH]C(=O)O awp
[NH]C(=O)S awq
[NH]C(=O)[SH](=O)=O awr
[NH]C(N)=O aws
[NH]C([NH])=O awt
[NH]C=O awu
[NH]S awv
[NH]S(=O)(=O)O aww
[NH][CH]NC=O awx
[NH][CH][NH] awy
[NH][SH](=O)=O awz
[OH] awA
[SH] awB
c1[nH]nc2c1CNCC2 awC
c1c2c(nc3c1CCC3)CCCC2 awD
c1c[nH]cn1 awE
c1cc2c(cc3cnncn32)o1 awF
c1cc2c(cc3cnncn32)s1 awG
c1cc2c(ccc3nonc32)n1 awH
c1cc2c(cn1)CCC2 awI
c1cc2c(cn1)CCCC2 awJ
c1cc2c(n1)CCCC2 awK
c1cc2c(n1)ncn1ncnc21 awL
c1cc2c(nc3sccn32)s1 awM
c1cc2c(ncn3cnnc23)s1 awN
c1cc2c(o1)CCCC2 awO
c1cc2c(o1)CCc1cnnc1-2 awP
c1cc2c(s1)CCC2 awQ
c1cc2c(s1)CCCC2 awR
c1cc2c(s1)CCCCC2 awS
c1cc2c(s1)CCc1cnnc1-2 awT
c1cc2c(s1)CNCC2 awU
c1cc2c3c(cccc3c1)CC2 awV
c1cc2c3c(cnc2s1)CCCC3 awW
c1cc2c3c(sc2[nH]1)CCCC3 awX
c1cc2cc3c(cc2o1)CCC3 awY
c1cc2cc3c(nc2s1)CCCC3 awZ
c1cc2cc[nH]c2cn1 axa
c1cc2ccoc2n1 axb
c1cc2ccsc2cn1 axc
c1cc2ccsc2n1 axd
c1cc2ccsc2nn1 axe
c1cc2ccsc2s1 axf
c1cc2cncnc-2n1 axg
c1cc2cncnc2n1 axh
c1cc2cnnc2s1 axi
c1cc2n(c1)CCC2 axj
c1cc2nc3c(cn2n1)CCC3 axk
c1cc2nc[nH]c2cn1 axl
c1cc2ncc3c(n2n1)NCC3 axm
c1cc2nccc2n1 axn
c1cc2ncnc2cn1 axo
c1cc2occc2n1 axp
c1cc2sccc2n1 axq
c1cc[nH]c1 axr
c1ccc2[nH]ccc2c1 axs
c1ccc2[nH]cnc2c1 axt
c1ccc2[nH]ncc2c1 axu
c1ccc2[nH]nnc2c1 axv
c1ccc2c(c1)CC1(CCCCC1)c1cncnc1-2 axw
c1ccc2c(c1)CCC2 axx
c1ccc2c(c1)CCCC2 axy
c1ccc2c(c1)CCCCN2 axz
c1ccc2c(c1)CCCN2 axA
c1ccc2c(c1)CCN2 axB
c1ccc2c(c1)CCNC2 axC
c1ccc2c(c1)CCO2 axD
c1ccc2c(c1)CCc1cc3ccccc3nc1-2 axE
c1ccc2c(c1)CCc1ccsc1-2 axF
c1ccc2c(c1)CCc1cn3nccc3nc1-2 axG
c1ccc2c(c1)CCc1cnoc1-2 axH
c1ccc2c(c1)CNC2 axI
c1ccc2c(c1)CNCO2 axJ
c1ccc2c(c1)CNc1cccnc1O2 axK
c1ccc2c(c1)CNc1cncnc1O2 axL
c1ccc2c(c1)COCO2 axM
c1ccc2c(c1)Cc1ccccc1-2 axN
c1ccc2c(c1)N=C1CCCC3CNCCC123 axO
c1ccc2c(c1)NCCCS2 axP
c1ccc2c(c1)NCCN2 axQ
c1ccc2c(c1)NCCO2 axR
c1ccc2c(c1)NCCS2 axS
c1ccc2c(c1)Nc1ccncc1S2 axT
c1ccc2c(c1)OC1(CCCC1)O2 axU
c1ccc2c(c1)OC1OC2Oc2ccccc21 axV
c1ccc2c(c1)OCCCO2 axW
c1ccc2c(c1)OCCO2 axX
c1ccc2c(c1)OCO2 axY
c1ccc2c(c1)OCc1ccsc1-2 axZ
c1ccc2c(c1)OCc1cncnc1-2 aya
c1ccc2c(c1)OCc1cnnc1-2 ayb
c1ccc2c(c1)Oc1nc3ccccc3nc1O2 ayc
c1ccc2c(c1)SCc1cnnc1-2 ayd
c1ccc2c(c1)[nH]c1cc3ccncc3cc12 aye
c1ccc2c(c1)[nH]c1ccccc12 ayf
c1ccc2c(c1)[nH]c1cnccc12 ayg
c1ccc2c(c1)[nH]c1cncnc12 ayh
c1ccc2c(c1)[nH]c1ncnnc12 ayi
c1ccc2c(c1)[nH]c1nncn12 ayj
c1ccc2c(c1)c1cccc3c1n2CCN3 ayk
c1ccc2c(c1)c1ccccc1c1nn3nnnc3nc21 ayl
